"","Oocyte..1.RPKM.","Oocyte..2.RPKM.","Oocyte..3.RPKM.","Zygote..1.RPKM.","Zygote..2.RPKM.","Zygote..3.RPKM.","X2.cell.embryo.1..Cell.1.RPKM.","X2.cell.embryo.1..Cell.2.RPKM.","X2.cell.embryo.2..Cell.1.RPKM.","X2.cell.embryo.2..Cell.2.RPKM.","X2.cell.embryo.3..Cell.1.RPKM.","X2.cell.embryo.3..Cell.2.RPKM.","X4.cell.embryo.1..Cell.1.RPKM.","X4.cell.embryo.1..Cell.2.RPKM.","X4.cell.embryo.1..Cell.3.RPKM.","X4.cell.embryo.1..Cell.4.RPKM.","X4.cell.embryo.2..Cell.1.RPKM.","X4.cell.embryo.2..Cell.2.RPKM.","X4.cell.embryo.2..Cell.3.RPKM.","X4.cell.embryo.2..Cell.4.RPKM.","X4.cell.embryo.3..Cell.1.RPKM.","X4.cell.embryo.3..Cell.2.RPKM.","X4.cell.embryo.3..Cell.3.RPKM.","X4.cell.embryo.3..Cell.4.RPKM.","X8.cell.embryo.1..Cell.1.RPKM.","X8.cell.embryo.1..Cell.2.RPKM.","X8.cell.embryo.1..Cell.3.RPKM.","X8.cell.embryo.1..Cell.4.RPKM.","X8.cell.embryo.2..Cell.1.RPKM.","X8.cell.embryo.2..Cell.2.RPKM.","X8.cell.embryo.2..Cell.3.RPKM.","X8.cell.embryo.2..Cell.4.RPKM.","X8.cell.embryo.2..Cell.5.RPKM.","X8.cell.embryo.2..Cell.6.RPKM.","X8.cell.embryo.2..Cell.7.RPKM.","X8.cell.embryo.2..Cell.8.RPKM.","X8.cell.embryo.3..Cell.1.RPKM.","X8.cell.embryo.3..Cell.2.RPKM.","X8.cell.embryo.3..Cell.3.RPKM.","X8.cell.embryo.3..Cell.4.RPKM.","X8.cell.embryo.3..Cell.5.RPKM.","X8.cell.embryo.3..Cell.6.RPKM.","X8.cell.embryo.3..Cell.7.RPKM.","X8.cell.embryo.3..Cell.8.RPKM.","Morulae..1..Cell.1.RPKM.","Morulae..1..Cell.2.RPKM.","Morulae..1..Cell.3.RPKM.","Morulae..1..Cell.4.RPKM.","Morulae..1..Cell.5.RPKM.","Morulae..1..Cell.6.RPKM.","Morulae..1..Cell.7.RPKM.","Morulae..1..Cell.8.RPKM.","Morulae..2..Cell.1.RPKM.","Morulae..2..Cell.2.RPKM.","Morulae..2..Cell.3.RPKM.","Morulae..2..Cell.4.RPKM.","Morulae..2..Cell.5.RPKM.","Morulae..2..Cell.6.RPKM.","Morulae..2..Cell.7.RPKM.","Morulae..2..Cell.8.RPKM.","Late.blastocyst..1..Cell.1.RPKM.","Late.blastocyst..1..Cell.2.RPKM.","Late.blastocyst..1..Cell.3.RPKM.","Late.blastocyst..1..Cell.4.RPKM.","Late.blastocyst..1..Cell.5.RPKM.","Late.blastocyst..1..Cell.6.RPKM.","Late.blastocyst..1..Cell.7.RPKM.","Late.blastocyst..1..Cell.8.RPKM.","Late.blastocyst..1..Cell.9.RPKM.","Late.blastocyst..1..Cell.10.RPKM.","Late.blastocyst..1..Cell.11.RPKM.","Late.blastocyst..1..Cell.12.RPKM.","Late.blastocyst..2..Cell.1.RPKM.","Late.blastocyst..2..Cell.2.RPKM.","Late.blastocyst..2..Cell.3.RPKM.","Late.blastocyst..2..Cell.4.RPKM.","Late.blastocyst..2..Cell.5.RPKM.","Late.blastocyst..2..Cell.6.RPKM.","Late.blastocyst..2..Cell.7.RPKM.","Late.blastocyst..2..Cell.8.RPKM.","Late.blastocyst..2..Cell.9.RPKM.","Late.blastocyst..2..Cell.10.RPKM.","Late.blastocyst..3..Cell.1.RPKM.","Late.blastocyst..3..Cell.2.RPKM.","Late.blastocyst..3..Cell.3.RPKM.","Late.blastocyst..3..Cell.4.RPKM.","Late.blastocyst..3..Cell.5.RPKM.","Late.blastocyst..3..Cell.6.RPKM.","Late.blastocyst..3..Cell.7.RPKM.","Late.blastocyst..3..Cell.8.RPKM."
"SHANK3",0.381837083906047,0.324234562270531,0.700439718141092,0.898401859992193,0.739848102699327,0.772307974958403,0.91456452349394,1.06901467791518,1.31846146516758,1.07929276727285,0.892196710465485,0.888304895208487,1.55581615506164,0.839153387389821,1.48284828306847,0.496717987935177,1.51803149260217,1.84116804354865,1.65580975435545,0.364012053558615,1.34879895961211,1.26903314645524,1.16607267594671,1.57482812358744,1.56657164062676,0.857582955384148,0.349365277594213,1.78575977442701,0.60502015306241,0,0,0,0,0,0.34255474547732,0,0.202887833470143,0,0,0.407080775450501,0,0,0.306845500314283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237563718317676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC728724",4.22203170248449,4.3659024600849,4.63830557680709,3.80900277493909,3.35205225634249,3.12465899041952,2.67287788119757,2.29748491571057,2.69577115780567,2.97544676564096,2.29395897902869,3.0100636833447,0.155749232677945,4.41081595428506,3.82853003707838,0.711054321812066,3.44824022521607,4.40925514668484,3.6422394657944,3.41332328089906,4.6585542606509,3.13405661433863,2.93206117134342,4.12217572334094,3.57410150808939,4.0038720421931,1.87066062667928,1.63366369686663,0,1.50080205305716,0,0,0,0,0,0,2.17791779219584,0,0.670840335881562,2.54621538477936,0,1.65122394298988,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03667915423045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCN4",0.995665409736109,0.529071299829111,0.553851968181126,1.2904244038653,1.50792146495733,1.52606881166759,1.6617495998107,1.61258840669872,1.64800517981049,1.56120392076992,1.44148347958264,1.1839628348426,0.685267406516842,2.00611846138338,1.99819550315325,1.30100225603281,0.453122446595813,0.900721927564115,0.759581973233555,0,0.918386234446348,0.175045486110914,1.1525079483649,0.815575428862573,0,0.326537348139952,0.204140716780225,1.50436615061227,0,0,0,0,0,0,0,0.265436896049098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDZD9",0.53605290024021,0.679874147746623,0.49467161164755,0.140124223909071,0.443606651475615,0.54399071966485,0.542010355536609,0.279768421593595,0.279768421593595,0.40381306161659,0.374065718222538,0.351628329102782,0.799087306074004,0.369606070031838,1.08814159686902,0.259423152281415,0.382943869568991,0.563646269484064,0.32883646422954,0.599317793698226,0.787432464516868,0.356143810225275,0.516015147003665,0.518031492602169,0.209141397838592,0.14535138557262,0.351628329102782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233888060174277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147957881387101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRICKLE2",2.77336342532437,2.89569039046369,3.24321207392828,1.18903382439002,1.73941609340103,1.84759610226264,1.41196851036013,1.40653667020517,1.29219277390189,1.70132725741294,1.61729848284085,1.79991620298901,2.20037879798403,2.61706334388818,1.97306017280408,2.2654368960491,2.49236596339547,3.33499724490688,2.46126660848879,2.41980852893928,1.96864375596472,2.00755433613827,3.00934717225925,2.28835856219366,0,1.37295209791183,0.599317793698226,2.10165007609443,0,0,0,0,0,0,0,0,0,0,0,0,0.645240512645265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146655222119465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNPH",0.804879608254672,0.972325041557152,0.767231037023876,1.84639302085236,2.01899017538475,2.27649666564036,1.86987140617771,1.85996954822103,2.35247605905033,2.15736714811149,1.50436615061227,1.85559110771045,2.34027740476625,3.56450011565451,1.35727047567956,3.95233356636969,3.72694017779995,2.31527638701493,2.22743303803698,2.95791459863299,2.65535182861255,2.47871300244172,2.7158933705476,2.83693401132109,2.54646235816709,0.887525270741587,1.74631276642546,0.225274929869569,0,0.933572638261024,0,0,0,0,0.429749850800216,0.189033824390017,1.20914139783859,0,0,0.260627908126699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535057594894842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DGKI",1.14012422390907,1.11902410314227,1.76043387467011,2.14925936549962,1.66448284036468,2.05276365720956,1.59072177000984,1.47819525793917,1.45838200415601,1.40381306161659,1.36289064266586,1.37517847958961,0,3.09659920721425,1.67129337248158,1.6140030448649,1.72857360255936,2.97048557294012,2.24061962931176,0.979659551715824,2.22558342875685,2.67987414774662,2.47715921118664,2.11802742259079,1.10835717809042,1.62620548295304,0.863938450423971,0.52707033551266,0,0,0,0,0,1.15574923267794,0.894526770257394,0,0,1.27082791555366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTN1",1.43349363984688,1.99349322105842,1.88674522474211,1.7578766597479,1.62807365419614,1.88830489520849,1.75060650483559,1.75232042845967,1.91914936328767,1.68212378961972,1.37406571822254,1.68436992901301,1.80487960825467,2.07484791590017,3.1586601753465,1.11169907219742,2.56120392076992,1.31788288282941,1.99675027884918,1.39615948907315,1.75017770559306,1.72202877790284,2.00432160595009,1.97856174947575,2.28184659157661,1.51853513898218,2.14893410452634,1.04404433270602,0,0,0,0,0,0,0,0,0,0,1.21723071622067,0.506906554580693,0.771463058365651,0.340277404766254,0.512985334813676,1.31324585178756,0,0.480265122054463,0.389566811762726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149259365499623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR51E1",2.58159227883601,2.81659970653491,3.41359408240918,3.49287864820573,3.44307615136267,4.09482721717667,3.00450139223494,3.09102275091852,3.21365834146748,3.03896287288467,2.82964663487904,2.50741409901544,4.02290040211008,3.51677160688688,4.97007136908153,2.83713591392318,2.92789645372882,3.94588857440603,2.14371993109492,3.57507024745155,2.84959901115145,3.24777564281437,2.01185340574379,2.45628048151073,1.66993383566896,0.349365277594213,0,2.90438775444812,0,1.50080205305716,0,0,0,0,0,0,0,0.3928669162308,0.509949146304311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822118274729345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NXPH1",2.34568023078636,1.48439596250267,1.88322978903273,3.66527906108787,4.51292214601569,4.15534447015786,4.1106138055009,4.06194896509075,3.57942154276352,3.53940699535789,2.55090066464752,2.50512874161279,6.36094362632095,5.14771372235215,4.81915722367497,5.89387182121582,2.93262815702213,1.85758295538415,3.00252250976871,2.43642838805256,3.39053012226603,3.90274893059778,3.85539177160777,2.76807843501646,0.906890595608518,1.57821416547245,1.20163386116965,0.784085142734757,2.26363540356833,0,0,0,0,0,0,0.149259365499623,1.45680614923047,0,0,0,0,0,0.992043276171657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APBA1",0.324234562270531,0.664482840364683,0.479230561206336,2.00683657739666,2.31469652565629,2.7261772795547,1.61964776693088,1.51803149260217,2.00216242115062,1.93847399813843,1.68481873755322,1.35445216057956,3.37197697449458,2.92124588858559,2.81126550377674,2.38072944850355,1.88166461932035,3.19424468063773,2.99675027884918,2.95735746595918,2.90284538355057,2.84378289759757,3.07929276727285,2.81290889856175,2.30859386858428,2.13586316536868,1.44890095114513,0.935082523318661,0,0.228972569760161,0.155749232677945,0,0,0,0,0,0.533064921869638,1.5245652210772,0,0.654435540845399,1.15315678806142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM200A",4.29079299308089,4.96698410787883,4.60963678113278,4.7364425224014,4.96356660146223,5.04548665635946,4.35741124701605,4.2628089671208,4.79092839084601,4.2137360959228,4.43596189543763,4.41994332875632,5.47664090866952,5.08589199470776,4.83187724119167,4.82334176176314,4.48484705643314,4.44008844800814,4.52913378526736,4.65626753479429,4.73042258435681,5.0358877932252,4.77204399167449,4.90943710808981,3.68178656688861,2.99566540973611,3.39437694495705,2.80797308747771,1.87105507508663,0,0.678071905112638,0,1.26783539209762,0,0.348232419239271,2.83289001416474,2.46806192378074,0.367371065648529,2.13586316536868,1.70354371973382,1.45101324294397,0,2.66152159585276,2.34879895961211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM81B",0.820485342986379,0.922958964236172,0.586884812852185,2.4051755086353,2.07587486697513,2.14763232682386,2.27052894238072,2.37490036970135,2.60193417318867,2.82883464946806,1.61682816660493,1.85758295538415,2.04404433270602,0,0.242450073677701,2.16510798514454,1.51551061996901,1.90149445504757,1.62527048937469,0.591679416935737,1.14339341869319,1.53754457196457,0.899175630480513,1.17823658460481,2.19503256501146,0.183962834842595,1.56510969653183,3.59955584254637,0.652601217596519,0,1.24792751344359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42545930476536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTN5",4.49018501809594,4.34013495154067,4.52757083683282,3.02183502726224,1.79576694778239,2.23358133219589,3.37656822542571,3.42411588811098,2.99783433278189,3.54027530416586,2.38874060478726,2.43242497680476,2.35106289894039,2.4838802538141,4.30363464507901,3.29939120612683,3.05154611957793,2.26092893995688,2.85598969730848,3.45522857111714,3.44360665147561,3.01970191444255,2.33856703700115,3.28510625106125,3.31339098483339,3.31773820098194,3.5457213111304,3.45220004940622,0,0.663572335417523,1.00504061670053,1.09085343045111,0,0.733788168625182,1.16928366111573,1.09895848008817,0,0,0,0.535057594894842,0,1.63969523339958,0,0.624802765252947,0,0,2.05831649559082,0,0,0,0,0,0,0,0,0,0,0,0.269033146455237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDS",4.84358192315399,4.90583223113078,4.57694533088711,3.75339059766599,2.8015725694636,3.12994238397696,3.25398926623079,3.27753848394387,3.15461561132689,2.86809407991528,2.33885223914518,2.32768736417605,2.45338588036645,2.877744249949,0.284514133244245,3.30085587126876,3.44228003525258,3.63633460244218,4.17672169288105,3.12862334841912,3.93517683868763,2.69488019279919,3.75648960675997,4.27954558286885,0.863145542989399,2.64408700251674,3.08508467862865,2.59955584254637,0.301002256032814,0,1.88048962668782,0,0,2.63459326844576,2.53156860881496,0.962734090595803,0,0,0,0,1.48594198341242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT2A2",4.60762622084549,3.31440650755482,3.1926676198763,2.35162832910278,2.89433274227769,2.86730345375992,2.62269612816767,2.68481873755322,1.48233202074738,1.6631168673661,0.952333566369686,0.546956178141411,2.70818723602071,0.933572638261024,3.21147951359138,1.9649530529008,2.67626740826589,1.47871300244172,1.39231742277876,0,1.22835695420105,0.331131922217202,0.913798964950696,1.01221108395087,1.23204671335011,2.8015725694636,2.05797006863733,2.78826808286684,0.55581615506164,0,0,0,0,0,0,0,0,0,0,0,0,0.236339539168374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C21orf29",1.16478627814334,0.941106310946431,2.01042180548651,1.24366908096686,1.14208662961753,1.07450543636363,1.0496307677246,0.847195186589395,1.10299399332333,1.17440641852975,0.711935356978922,1.01077983875324,2.61588707391606,2.36345145707171,1.19156265070076,2.63598650374562,2.66243339556135,2.0962618530584,2.40053792958373,1.87813676662695,1.5385381636298,1.94485844580754,2.51525829027167,2.20726817311203,2.11835972595306,1.88440255298369,2.69932952567316,2.92846507820214,0,1.24488705912353,0,0,0,0,0,0.253384235800074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528071164578735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXL7",4.90597659928656,4.47092725747513,4.97663858317333,4.23166280344048,4.08610437124329,4.57040221025999,4.14126928494613,4.36967585815815,4.43622848111601,4.42122329922514,4.11586558303792,3.78010008447995,4.07937811111865,4.48658567014102,3.30480305578542,3.93602539966154,4.57337452644594,4.72186477626864,4.29329690547002,2.61541629726287,4.7084079834836,4.47677050175659,4.64806272074343,4.67638025546692,1.98258294692259,1.94598218599746,1.07107616201096,2.93997876494071,0.621993231666123,1.39780296186249,0.160920188181103,0,0.454175893185802,0,0,0,2.4867143730307,0,0,0,1.54843662469604,1.48542682717024,0,0,0,0,0,0,0,0,0.667210912480871,0,0,0,0,0,0,0.618238655595455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM135B",1.0962618530584,1.1609201881811,1.50131174924366,1.07792657868507,1.14730669878029,1.69643902065575,0.6535186707536,1.02005765234125,0.55581615506164,1.01792190799726,0.825378603892931,0.779049552837459,2.9728764251071,2.05241589415114,2.57022003262646,1.09491164702547,2.7279204545632,0.998556583130331,1.43935717847426,0.509949146304311,1.99313087142926,0.924479992359022,2.1417597473139,2.09895848008817,2.59239723519794,2.12895322038601,0,0.62760683812965,0,0,0.370722275148167,0,0,0,0,0,0,0.204140716780225,0,0,0,0,0.331131922217202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCAN2",0.662661255475094,0.379620962055708,0.611644543373662,2.26393580857533,1.87538690458646,1.81393507048132,1.72726701073491,1.51096191927738,1.94897455427977,2.13979689661535,1.38183708390605,1.39066768555967,3.33442525757026,3.27709208250431,2.51121500147097,2.13553486976119,2.51601514700366,2.15218341905505,2.48259017500071,0,2.77673568699921,2.86987140617771,2.33370995434728,2.42169458118029,2.2904244038653,0.9701173976055,0.997111720675174,1.9712216418545,0,0,1.81803247465809,0,0,0,0,0,2.02147972741045,0,0,0,0,0,0,0,0,0,0,0.660837367696284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUX2",1.52105073690096,1.64108355271207,1.77315239701405,1.98367769469807,2.20633064787105,2.38183708390605,1.81803247465809,1.81516551408758,2.00611846138338,2.10567807789454,1.7407117333991,1.85479359799369,2.61588707391606,1.27857955045842,1.88127306142925,0.729444006833663,2.39149278998072,3.02396499080005,2.65786862339084,2.77589336028377,2.90110824301451,2.79160572470455,2.67649309384177,2.58448152220665,0,1.26663664251399,0.146655222119465,0.225274929869569,0,0,0,0,0,0,0,0,0,0.471967787661516,0,0.939602720356044,0,0,0.586884812852185,0,0,0,0,0,0,0,0,0,0.459431618637297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2BP1",1.6507645591169,1.60502015306241,1.41629930547988,1.96827511023871,1.57918014812715,1.48491148691083,1.38183708390605,1.49671798793518,1.44307615136267,1.52205574916096,1.3533232911629,1.611172380044,1.70398660386343,1.4032677223393,2.99258717628776,2.9554988016453,2.04823618565285,2.19880843205028,2.34908214639109,1.00144197417391,1.91456452349394,2.23939804156656,2.30129498100914,2.13389227019756,1.6507645591169,1.58496250072116,0.522055749160964,2.30713704220492,0,0,0,0,0,0,0,0.876566058751721,0.818850560895434,0,0,0,0,0,1.81680447483288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRA2B",3.09558690799772,3.1171963291633,3.27217252864411,1.99783433278189,1.72159139877538,1.80074462393678,2.10165007609443,2.23266075679027,1.79576694778239,1.82456421208983,2.32624970083746,2.28776777797538,1.6915341649192,2.39011735366633,2.47638168756724,2.57143411587651,2.84979914918894,3.22774107583913,2.75274859140713,3.68818035858693,2.66902676550963,2.16221003631431,3.40231288230197,3.47027654480301,1.600269753509,0,0.808179083771471,1.02361021518265,0,0,0,0,0,0,0,0,0,0.435095151620097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITIH2",0.604071323668861,0.674460651560259,0.613531652917927,1.53306492186964,1.12167855658825,1.4838802538141,1.16992500144231,1.16928366111573,1.11169907219742,1.44678556214312,1.68032435684402,1.41413553298445,2.8923910259134,2.56193705962243,0.367371065648529,2.90804429022489,0.424384671538097,1.56803210477128,1.20914139783859,0,1.29278174922785,0.94185751900344,1.9214363308063,1.73031388629378,1.05866283937856,0,1.69064057861569,0.516015147003665,0,0,0.225274929869569,0,0,0,0,0,0,0,0,0,0.186500557644495,0,0,0,0,0,0,0,0,0,0.526068811667588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM65C",4.54769659131696,4.63790000802925,4.44267814822229,4.37323058358799,4.8939446080163,4.62275468742086,3.77663042305105,3.94307739845636,4.09153059312062,4.23097150805294,4.07099032562593,4.39629651666892,3.57930085049416,4.48129894154757,4.62076233814442,5.05019693184614,4.32308178950373,4.32300971061281,4.26566192452189,5.03535997796045,4.17727999596932,4.00225245173138,4.40674073372057,3.65981041662132,1.90458043492132,2.35980226054848,0.871843648509318,0,0,0.250961573533219,0,0,0,0,0,0,0.345964030342872,0,0,0,0,0,0,0,0,0,0,0,0.957543200757105,0,1.75958197323355,0,0.370722275148167,0,0,0,0,0.960511710119024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC284294",0.742437445376266,0.973794929652606,0.509949146304311,0.673556423990145,0.457331625485014,0.918386234446348,0.382943869568991,0.439357178474257,0.414676780426886,0.512985334813676,0.413594082409175,0.424384671538097,0.882056070968626,1.3928669162308,0.246104009883917,0,0.811471030529836,0.841570637395517,0.227741075839128,0.441483479582645,0.601221085584946,0.476122419880152,0.738119288782577,0.504874589398464,0.88596475675397,0.168642035558839,0.51500591643373,0.167357927738514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPH",0.540027269257507,0.263034405833794,0.43722773891291,1.34255474547732,1.52105073690096,2.14535138557262,1.46152855947288,1.28688114778816,1.4630992673481,1.40490312214513,1.12035194036522,1.07860983469637,3.26513680347581,2.85559110771045,2.74695764241365,2.93357263826102,2.73660487531425,1.80405355896735,2.25398926623079,2.49543934295128,2.02219023963407,2.02856915219677,2.36148765214307,2.88225175696972,0.221567788538409,1.52807116457874,1.1839628348426,2.7187451977564,0,0,0.228972569760161,0,0,0,0,0,0,0,0,0.314986485468515,1.36176835941915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCR3",5.64114137036725,5.87164654555923,5.92960165523642,4.58610418243912,5.03276207381379,4.38017531174203,4.82984955984469,4.82430962034426,4.93969674069176,4.60128052301583,4.1740867785504,4.31244735895228,5.52375012139966,3.65946793708479,4.79581888719308,4.1112817585383,4.17168721868987,4.6938214566988,4.7235585614721,4.4966540825935,4.4394236728416,4.06203534108484,3.59227762362047,4.34127418369217,2.25398926623079,1.29748491571057,4.38211385993393,3.08966763043294,0,0,0.442545456105304,0,0,0,0,0,0,0,1.70088355602827,0,0,0,3.39025495632187,0,0,0,2.43429461795993,0,2.013998146041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25247621413522,0,0,0
"F13A1",1.53953107147415,2.39149278998072,2.2910141014173,1.96310415473555,1.78993786898019,2.30567874324229,1.83995958748953,1.62480276525295,2.05588975819628,2.04893364519792,0.831877241191673,1.0036022366802,1.26843439357638,0.892973815273334,0,0.890641243963444,0.932817102741851,2.3595211704276,2.34511246413563,1.66493787744175,1.78952060360031,2.33999248424772,1.7407117333991,0.968643755964717,0,2.04054179386285,1.298071734934,1.17312743348066,0,1.10768786931437,0,0,0,0,0,0,0,0,0,1.26723614181241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SP110",4.86557244700691,4.67276475969824,4.89612650619017,4.76532256972595,3.60229058486114,3.8532970779872,3.99647913804195,4.25957380179243,4.16382072649042,4.10525901871104,3.23848117147476,3.38529297364579,4.56144834178548,3.84056394205016,4.56395127255932,4.63587045217971,4.79202238753514,4.84609209367431,3.67355642399014,4.802865283875,3.72933523501314,3.70099449416827,3.42774024601659,3.61140848102496,5.11628157307595,4.32941067121857,3.95800743316478,4.75926238045967,2.75574217934539,0,2.22342254993494,0,0,0,1.23020301336642,0,0,0,0,0,0,0,0,0,0,0,1.45364926604329,0,0,0,0,0,1.68392098080932,0,0,0,0,0,0,0,0,2.56827537178828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RASSF5",4.27939700459469,4.48375129783271,3.08338358771008,4.62293035092018,3.73584707202618,3.61435648777408,3.84267719153754,3.77167433390837,3.44625622988956,3.66652937792404,2.74308405554959,3.08882003329858,4.97191136555693,5.70984201927331,5.53965513692041,4.91891092888435,3.62678954637581,3.25035527176305,4.2979983955831,3.53990323581025,4.73134618738201,5.26922020578009,4.70697252084697,5.21482421851357,3.72802933309922,2.35162832910278,2.63482556778462,3.52105073690096,0,0,0,0.700439718141092,0,0,0,0,0,0,1.75745001623129,2.32998464975842,1.84959901115145,0,0,2.7187451977564,0,0,0,0,0,0,0,0,0,0,0.289244285156642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748461233004036,0,0,0,0
